Rank Province City Score Level
194 辽宁 朝阳 15.01 一般
195 海南 保亭 15.02 一般
196 湖北 黄石 15.04 一般
197 安徽 安庆 15.08 一般
198 宁夏 银川 15.19 一般
199 江苏 镇江 15.22 一般
200 山东 济宁 15.27 一般
201 湖北 鄂州 15.34 一般
202 江西 新余 15.44 一般
203 广西 百色 15.45 一般
204 广西 贺州 15.52 一般
205 河南 焦作 15.70 一般
206 湖北 孝感 15.72 一般
207 黑龙江 鸡西 15.81 一般
208 内蒙古 巴彦淖尔 15.83 一般
209 辽宁 本溪 15.92 一般
210 海南 东方 16.10 一般
211 安徽 淮南 16.21 一般
212 河北 秦皇岛 16.21 一般
213 吉林 松原 16.26 一般
214 甘肃 平凉 16.33 一般
215 陕西 榆林 16.34 一般
216 四川 眉山 16.38 一般
217 江西 南昌 16.45 一般
218 河南 郑州 16.45 一般
219 内蒙古 呼和浩特 16.46 一般
220 新疆 克孜勒苏 16.48 一般
221 河南 商丘 16.51 一般
222 宁夏 中卫 16.53 一般
223 山东 威海 16.79 一般
224 内蒙古 赤峰 16.79 一般
225 海南 儋州 16.91 较差
226 河南 周口 16.91 较差
227 河南 信阳 16.92 较差
228 新疆 喀什 16.99 较差
229 黑龙江 伊春 17.07 较差
230 浙江 宁波 17.12 较差
231 新疆 阿勒泰 17.23 较差
232 安徽 蚌埠 17.35 较差
233 黑龙江 七台河 17.37 较差
234 河南 新乡 17.51 较差
235 安徽 淮北 17.61 较差
236 江苏 泰州 17.70 较差
237 内蒙古 包头 17.84 较差
238 河南 洛阳 17.95 较差
239 内蒙古 鄂尔多斯 17.97 较差
240 甘肃 白银 18.07 较差
241 河南 驻马店 18.08 较差
242 广西 北海 18.16 较差
243 宁夏 固原 18.23 较差
244 云南 玉溪 18.27 较差
245 安徽 阜阳 18.36 较差
246 浙江 杭州 18.43 较差
247 黑龙江 黑河 18.49 较差
248 北京 北京 18.60 较差
249 河南 济源 18.63 较差
250 海南 临高 18.76 较差
251 云南 大理 18.77 较差
252 广西 钦州 18.82 较差
253 广东 佛山 18.85 较差
254 江苏 苏州 18.88 较差
255 河南 鹤壁 18.90 较差
256 浙江 嘉兴 19.09 较差
257 海南 澄迈 19.10 较差
258 广东 茂名 19.24 较差
259 湖北 荆州 19.33 较差
260 陕西 延安 19.38 较差
261 辽宁 铁岭 19.41 较差
262 辽宁 辽阳 19.42 较差
263 海南 万宁 19.43 较差
264 河北 邯郸 19.57 较差
265 广东 江门 19.58 较差
266 河北 保定 19.81 较差
267 安徽 池州 19.86 较差
268 吉林 辽源 19.94 较差
269 黑龙江 哈尔滨 20.06 较差
270 山西 晋城 20.11 较差
271 山东 烟台 20.46 较差
272 云南 红河 20.50 较差
273 辽宁 大连 20.53 较差
274 山西 晋中 20.54 较差
275 广东 中山 20.60 较差
276 河南 开封 20.65 较差
277 湖北 荆门 20.67 较差
278 江苏 盐城 20.83 较差
279 河南 安阳 20.89 较差
280 江苏 连云港 20.95 较差
281 江苏 常州 21.13 较差
282 上海 上海 21.40 较差
283 云南 昆明 21.43 较差
284 河北 唐山 21.48 较差
285 甘肃 庆阳 21.48 较差
286 黑龙江 齐齐哈尔 21.49 较差
287 辽宁 阜新 21.50 较差
288 黑龙江 牡丹江 21.52 较差
289 山东 东营 21.56 较差
290 四川 资阳 21.63 较差
291 海南 白沙 21.71 较差
292 甘肃 天水 21.76 较差
293 辽宁 锦州 21.98 较差
294 安徽 马鞍山 22.05 较差
295 山东 淄博 22.28 较差
296 江苏 无锡 22.32 较差
297 河北 石家庄 22.53 较差
298 安徽 宿州 22.58 较差
299 海南 三沙 22.67 较差
300 辽宁 抚顺 22.79 较差
301 山西 吕梁 22.81 较差
302 广东 汕头 23.10 较差
303 新疆 石河子 23.10 较差
304 山西 朔州 23.12 较差
305 广东 揭阳 23.12 较差
306 广东 潮州 23.19 较差
307 江苏 南通 23.26 较差
308 山西 临汾 23.32 较差
309 陕西 西安 23.41 较差
310 辽宁 盘锦 23.43 较差
311 内蒙古 锡林郭勒 23.54 较差
312 山东 枣庄 23.63 较差
313 天津 天津 23.63 较差
314 湖北 武汉 23.97 较差
315 海南 海口 24.26 较差
316 河南 濮阳 24.34 较差
317 辽宁 葫芦岛 24.48 较差
318 吉林 吉林 24.74 较差
319 江苏 扬州 24.85 差
320 山东 青岛 25.27 差
321 海南 三亚 25.41 差
322 海南 三亚 25.41 差
323 安徽 合肥 25.55 差
324 安徽 亳州 25.71 差
325 黑龙江 大庆 25.83 差
326 山西 运城 26.10 差
327 山西 太原 26.44 差
328 山西 大同 26.47 差
329 海南 乐东 26.50 差
330 山东 潍坊 26.83 差
331 山东 德州 27.03 差
332 海南 陵水 27.14 差
333 海南 昌江 27.48 差
334 河北 邢台 27.60 差
335 广东 惠州 27.65 差
336 山东 滨州 27.66 差
337 陕西 渭南 27.90 差
338 山东 菏泽 27.93 差
339 山东 聊城 28.25 差
340 辽宁 沈阳 28.57 差
341 海南 定安 28.64 差
342 宁夏 吴忠 28.90 差
343 广东 东莞 29.42 差
344 陕西 铜川 29.86 差
345 河北 廊坊 29.97 差
346 海南 文昌 30.08 差
347 海南 琼海 30.78 差
348 黑龙江 佳木斯 30.99 差
349 广东 广州 31.15 差
350 辽宁 营口 31.50 差
351 内蒙古 乌兰察布 32.39 差
352 吉林 长春 32.42 差
353 河北 沧州 32.75 差
354 山东 日照 32.91 差
355 辽宁 鞍山 34.43 差
356 吉林 四平 34.59 差
357 海南 屯昌 35.01 差
358 内蒙古 呼伦贝尔 35.93 差
359 黑龙江 绥化 37.44 差
360 河北 衡水 38.54 差
361 广东 深圳 39.42 差
362 内蒙古 通辽 40.81 差
363 山西 阳泉 41.92 差
